ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2015,"2015",0,"Total",44423,25018,"Census Tract 16.03, Alachua County, FL","14000US12001001603"
2015,"2015",0,"Total",64148,10532,"Census Tract 18.11, Alachua County, FL","14000US12001001811"
2015,"2015",0,"Total",26738,8588,"Census Tract 4, Alachua County, FL","14000US12001000400"
2015,"2015",0,"Total",31816,9415,"Census Tract 10, Alachua County, FL","14000US12001001000"
2015,"2015",0,"Total",24243,4352,"Census Tract 6, Alachua County, FL","14000US12001000600"
2015,"2015",0,"Total",21194,4475,"Census Tract 15.21, Alachua County, FL","14000US12001001521"
2015,"2015",0,"Total",33848,6696,"Census Tract 8.08, Alachua County, FL","14000US12001000808"
2015,"2015",0,"Total",15938,3299,"Census Tract 15.15, Alachua County, FL","14000US12001001515"
2015,"2015",0,"Total",24638,6324,"Census Tract 3.01, Alachua County, FL","14000US12001000301"
2015,"2015",0,"Total",78306,11958,"Census Tract 17.02, Alachua County, FL","14000US12001001702"
2015,"2015",0,"Total",72233,6017,"Census Tract 11, Alachua County, FL","14000US12001001100"
2015,"2015",0,"Total",23194,6885.000000000001,"Census Tract 15.20, Alachua County, FL","14000US12001001520"
2015,"2015",0,"Total",20547,8788,"Census Tract 15.16, Alachua County, FL","14000US12001001516"
2015,"2015",0,"Total",25775,2487,"Census Tract 3.02, Alachua County, FL","14000US12001000302"
2015,"2015",0,"Total",80586,5526,"Census Tract 22.04, Alachua County, FL","14000US12001002204"
2015,"2015",0,"Total",27875,12192,"Census Tract 22.18, Alachua County, FL","14000US12001002218"
2015,"2015",0,"Total",31410,8823,"Census Tract 8.09, Alachua County, FL","14000US12001000809"
2015,"2015",0,"Total",16970,8736,"Census Tract 15.17, Alachua County, FL","14000US12001001517"
2015,"2015",0,"Total",68750,27691.999999999996,"Census Tract 12.01, Alachua County, FL","14000US12001001201"
2015,"2015",0,"Total",17238,4075,"Census Tract 2, Alachua County, FL","14000US12001000200"
2015,"2015",0,"Total",21587,5442,"Census Tract 15.19, Alachua County, FL","14000US12001001519"
2014,"2014",0,"Total",33056,20748,"Census Tract 9.02, Alachua County, FL","14000US12001000902"
2014,"2014",0,"Total",17790,4456,"Census Tract 15.19, Alachua County, FL","14000US12001001519"
2014,"2014",0,"Total",15554,4801,"Census Tract 15.17, Alachua County, FL","14000US12001001517"
2014,"2014",0,"Total",19782,4808,"Census Tract 3.01, Alachua County, FL","14000US12001000301"
2014,"2014",0,"Total",68750,14182,"Census Tract 1108, Alachua County, FL","14000US12001110800"
2014,"2014",0,"Total",25909,10860,"Census Tract 15.20, Alachua County, FL","14000US12001001520"
2014,"2014",0,"Total",18690,8936,"Census Tract 15.16, Alachua County, FL","14000US12001001516"
2014,"2014",0,"Total",28618,11839,"Census Tract 3.02, Alachua County, FL","14000US12001000302"
2014,"2014",0,"Total",16258,3024,"Census Tract 15.15, Alachua County, FL","14000US12001001515"
2014,"2014",0,"Total",46932,20351,"Census Tract 22.20, Alachua County, FL","14000US12001002220"
2014,"2014",0,"Total",22475,5865,"Census Tract 15.21, Alachua County, FL","14000US12001001521"
2014,"2014",0,"Total",36732,5981,"Census Tract 4, Alachua County, FL","14000US12001000400"
2014,"2014",0,"Total",16094,3232,"Census Tract 2, Alachua County, FL","14000US12001000200"
2014,"2014",0,"Total",15833,5867,"Census Tract 15.14, Alachua County, FL","14000US12001001514"
2014,"2014",0,"Total",32540,8612,"Census Tract 5, Alachua County, FL","14000US12001000500"
2014,"2014",0,"Total",31071,18727,"Census Tract 16.03, Alachua County, FL","14000US12001001603"
2014,"2014",0,"Total",38601,2978,"Census Tract 22.19, Alachua County, FL","14000US12001002219"
2014,"2014",0,"Total",33354,5159,"Census Tract 14, Alachua County, FL","14000US12001001400"
2014,"2014",0,"Total",21604,2488,"Census Tract 6, Alachua County, FL","14000US12001000600"
2014,"2014",0,"Total",33879,6792.999999999999,"Census Tract 22.18, Alachua County, FL","14000US12001002218"
2014,"2014",0,"Total",28245,6317,"Census Tract 16.04, Alachua County, FL","14000US12001001604"
2014,"2014",0,"Total",41081,9664,"Census Tract 12.03, Alachua County, FL","14000US12001001203"
2014,"2014",0,"Total",30819,4972,"Census Tract 7, Alachua County, FL","14000US12001000700"
2014,"2014",0,"Total",56497,8938,"Census Tract 12.02, Alachua County, FL","14000US12001001202"
2014,"2014",0,"Total",22372,9630,"Census Tract 8.06, Alachua County, FL","14000US12001000806"
2014,"2014",0,"Total",38096,3126,"Census Tract 17.01, Alachua County, FL","14000US12001001701"
2014,"2014",0,"Total",23571,11008,"Census Tract 22.17, Alachua County, FL","14000US12001002217"
2014,"2014",0,"Total",57500,18170,"Census Tract 12.01, Alachua County, FL","14000US12001001201"
2014,"2014",0,"Total",29665,6283,"Census Tract 8.08, Alachua County, FL","14000US12001000808"
2014,"2014",0,"Total",73864,8416,"Census Tract 22.04, Alachua County, FL","14000US12001002204"
2014,"2014",0,"Total",75341,7582,"Census Tract 17.02, Alachua County, FL","14000US12001001702"
2014,"2014",0,"Total",73922,7185,"Census Tract 11, Alachua County, FL","14000US12001001100"
2014,"2014",0,"Total",31815,14801,"Census Tract 8.09, Alachua County, FL","14000US12001000809"
2014,"2014",0,"Total",29191,7423.999999999999,"Census Tract 10, Alachua County, FL","14000US12001001000"
2014,"2014",0,"Total",18925,1529,"Census Tract 9.01, Alachua County, FL","14000US12001000901"
2014,"2014",0,"Total",60291,7178,"Census Tract 18.11, Alachua County, FL","14000US12001001811"
2014,"2014",0,"Total",27679,6556,"Census Tract 19.02, Alachua County, FL","14000US12001001902"
2013,"2013",0,"Total",28302,9034,"Census Tract 16.04, Alachua County, FL","14000US12001001604"
2013,"2013",0,"Total",18378,5177,"Census Tract 15.19, Alachua County, FL","14000US12001001519"
2013,"2013",0,"Total",30547,4845,"Census Tract 19.02, Alachua County, FL","14000US12001001902"
2013,"2013",0,"Total",29288,5954,"Census Tract 10, Alachua County, FL","14000US12001001000"
2013,"2013",0,"Total",60449,10653,"Census Tract 18.11, Alachua County, FL","14000US12001001811"
2013,"2013",0,"Total",18442,2038,"Census Tract 9.01, Alachua County, FL","14000US12001000901"
2013,"2013",0,"Total",72700,6485,"Census Tract 11, Alachua County, FL","14000US12001001100"
2013,"2013",0,"Total",74650,6750.999999999999,"Census Tract 22.04, Alachua County, FL","14000US12001002204"
2013,"2013",0,"Total",76167,15485.999999999998,"Census Tract 17.02, Alachua County, FL","14000US12001001702"
2013,"2013",0,"Total",35814,5019,"Census Tract 8.09, Alachua County, FL","14000US12001000809"
2013,"2013",0,"Total",52440,9041,"Census Tract 12.01, Alachua County, FL","14000US12001001201"
2013,"2013",0,"Total",32051,7749,"Census Tract 8.08, Alachua County, FL","14000US12001000808"
2013,"2013",0,"Total",21855,5279,"Census Tract 22.17, Alachua County, FL","14000US12001002217"
2013,"2013",0,"Total",57419,11550,"Census Tract 12.02, Alachua County, FL","14000US12001001202"
2013,"2013",0,"Total",36433,6640,"Census Tract 17.01, Alachua County, FL","14000US12001001701"
2013,"2013",0,"Total",21820,9708,"Census Tract 8.06, Alachua County, FL","14000US12001000806"
2013,"2013",0,"Total",36750,4498,"Census Tract 12.03, Alachua County, FL","14000US12001001203"
2013,"2013",0,"Total",38906,10665,"Census Tract 22.18, Alachua County, FL","14000US12001002218"
2013,"2013",0,"Total",21125,9373,"Census Tract 9.02, Alachua County, FL","14000US12001000902"
2013,"2013",0,"Total",28652,4882,"Census Tract 7, Alachua County, FL","14000US12001000700"
2013,"2013",0,"Total",34268,7016,"Census Tract 14, Alachua County, FL","14000US12001001400"
2013,"2013",0,"Total",21888,2609,"Census Tract 6, Alachua County, FL","14000US12001000600"
2013,"2013",0,"Total",35023,5767,"Census Tract 22.19, Alachua County, FL","14000US12001002219"
2013,"2013",0,"Total",11841,7856,"Census Tract 15.14, Alachua County, FL","14000US12001001514"
2013,"2013",0,"Total",43438,15143,"Census Tract 16.03, Alachua County, FL","14000US12001001603"
2013,"2013",0,"Total",29489,5618,"Census Tract 5, Alachua County, FL","14000US12001000500"
2013,"2013",0,"Total",17253,5327,"Census Tract 15.15, Alachua County, FL","14000US12001001515"
2013,"2013",0,"Total",43611,16409,"Census Tract 22.20, Alachua County, FL","14000US12001002220"
2013,"2013",0,"Total",22688,5990,"Census Tract 15.21, Alachua County, FL","14000US12001001521"
2013,"2013",0,"Total",36129,6554,"Census Tract 4, Alachua County, FL","14000US12001000400"
2013,"2013",0,"Total",24290,4736,"Census Tract 15.16, Alachua County, FL","14000US12001001516"
2013,"2013",0,"Total",32199,9550,"Census Tract 3.02, Alachua County, FL","14000US12001000302"
2013,"2013",0,"Total",63819,10969,"Census Tract 1108, Alachua County, FL","14000US12001110800"
2013,"2013",0,"Total",25588,9728,"Census Tract 15.20, Alachua County, FL","14000US12001001520"
2013,"2013",0,"Total",17538,4079,"Census Tract 15.17, Alachua County, FL","14000US12001001517"
2013,"2013",0,"Total",21429,6072,"Census Tract 3.01, Alachua County, FL","14000US12001000301"
2013,"2013",0,"Total",17079,3120,"Census Tract 2, Alachua County, FL","14000US12001000200"
